doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-card-payment-errors,data\shopee_full\shopee-card-payment-errors.md,Lỗi thanh toán bằng thẻ tín dụng hoặc thẻ ghi nợ,https://help.shopee.vn/portal/4/article/79560,2026-08-03,not-stated,public-page
shopee-credit-card-installment,data\shopee_full\shopee-credit-card-installment.md,Thanh toán đơn hàng bằng phương thức trả góp thẻ tín dụng,https://help.shopee.vn/portal/4/article/79538,2026-08-03,not-stated,public-page
shopee-credit-debit-card-payment,data\shopee_full\shopee-credit-debit-card-payment.md,Cách thanh toán bằng thẻ tín dụng hoặc thẻ ghi nợ,https://help.shopee.vn/portal/4/article/79545,2026-08-03,not-stated,public-page
shopee-general-return-refund-rules,data\shopee_full\shopee-general-return-refund-rules.md,Những quy định chung về trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/188931,2026-08-03,not-stated,public-page
shopee-installment-faq,data\shopee_full\shopee-installment-faq.md,Các câu hỏi thường gặp về trả góp,https://help.shopee.vn/portal/4/article/79456,2026-08-03,not-stated,public-page
shopee-mall-return-refund-terms,data\shopee_full\shopee-mall-return-refund-terms.md,Điều khoản dịch vụ Shopee Mall về trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77262,2026-08-03,not-stated,public-page
shopee-multiple-order-payment,data\shopee_full\shopee-multiple-order-payment.md,Hướng dẫn thanh toán nhiều đơn hàng,https://help.shopee.vn/portal/4/article/79596,2026-08-03,not-stated,public-page
shopee-order-payment-errors,data\shopee_full\shopee-order-payment-errors.md,Lý do không thể thanh toán đơn hàng trên Shopee,https://help.shopee.vn/portal/4/article/84824,2026-08-03,not-stated,public-page
shopee-payment-method-unavailable,data\shopee_full\shopee-payment-method-unavailable.md,Lý do không chọn được phương thức thanh toán mong muốn,https://help.shopee.vn/portal/4/article/79196,2026-08-03,not-stated,public-page
shopee-refund-time-status,data\shopee_full\shopee-refund-time-status.md,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,https://help.shopee.vn/portal/4/article/189473,2026-08-03,not-stated,public-page
shopee-return-refund-policy,data\shopee_full\shopee-return-refund-policy.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251?seo=1,2026-08-03,not-stated,public-page
shopee-return-shipping-methods-fees,data\shopee_full\shopee-return-shipping-methods-fees.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477,2026-08-03,not-stated,public-page
shopee-review-return-refund-request,data\shopee_full\shopee-review-return-refund-request.md,Quy trình Shopee xử lý yêu cầu trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-08-03,not-stated,public-page
shopee-seller-manage-return-refund,data\shopee_full\shopee-seller-manage-return-refund.md,Quản lý đơn trả hàng hoàn tiền,https://help.shopee.vn/portal/1/article/102521,2026-08-03,not-stated,public-page
shopee-submit-return-refund-request,data\shopee_full\shopee-submit-return-refund-request.md,Hướng dẫn gửi yêu cầu trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/79233?seo=1,2026-08-03,not-stated,public-page
shopee-supported-payment-methods,data\shopee_full\shopee-supported-payment-methods.md,Các phương thức thanh toán được Shopee hỗ trợ,https://help.shopee.vn/portal/4/article/79198,2026-08-03,not-stated,public-page
shopee-terms-of-service,data\shopee_full\shopee-terms-of-service.md,Điều khoản dịch vụ Shopee,https://help.shopee.vn/portal/4/article/77243,2026-08-03,not-stated,public-page
shopee-track-return-refund-status,data\shopee_full\shopee-track-return-refund-status.md,Theo dõi tình trạng trả hàng và hoàn tiền trên Shopee,https://help.shopee.vn/portal/4/article/79298,2026-08-03,not-stated,public-page
shopee-track-return-shipment,data\shopee_full\shopee-track-return-shipment.md,Cách theo dõi tình trạng vận chuyển hàng hoàn trả,https://help.shopee.vn/portal/4/article/189476,2026-08-03,not-stated,public-page
shopeepay-partner-online-payment,data\shopee_full\shopeepay-partner-online-payment.md,Cách thanh toán trực tuyến tại đối tác bằng ShopeePay,https://help.shopee.vn/portal/4/article/79437,2026-08-03,not-stated,public-page
