"doc_id","file_path","title","source_url","retrieved_at","document_version","license_or_permission"
"shopee-return-refund-policy","data\shopee_selected\shopee-return-refund-policy.md","Chính sách trả hàng và hoàn tiền","https://help.shopee.vn/portal/4/article/77251?seo=1","2026-08-03","not-stated","public-page"
"shopee-general-return-refund-rules","data\shopee_selected\shopee-general-return-refund-rules.md","Những quy định chung về trả hàng và hoàn tiền","https://help.shopee.vn/portal/4/article/188931","2026-08-03","not-stated","public-page"
"shopee-mall-return-refund-terms","data\shopee_selected\shopee-mall-return-refund-terms.md","Điều khoản dịch vụ Shopee Mall về trả hàng và hoàn tiền","https://help.shopee.vn/portal/4/article/77262","2026-08-03","not-stated","public-page"
"shopee-review-return-refund-request","data\shopee_selected\shopee-review-return-refund-request.md","Quy trình Shopee xử lý yêu cầu trả hàng và hoàn tiền","https://help.shopee.vn/portal/4/article/190242","2026-08-03","not-stated","public-page"
"shopee-seller-manage-return-refund","data\shopee_selected\shopee-seller-manage-return-refund.md","Quản lý đơn trả hàng hoàn tiền","https://help.shopee.vn/portal/1/article/102521","2026-08-03","not-stated","public-page"
"shopee-return-shipping-methods-fees","data\shopee_selected\shopee-return-shipping-methods-fees.md","Các phương thức gửi hàng hoàn trả và phí hoàn trả","https://help.shopee.vn/portal/4/article/189477","2026-08-03","not-stated","public-page"
"shopee-refund-time-status","data\shopee_selected\shopee-refund-time-status.md","Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn","https://help.shopee.vn/portal/4/article/189473","2026-08-03","not-stated","public-page"
"shopee-supported-payment-methods","data\shopee_selected\shopee-supported-payment-methods.md","Các phương thức thanh toán được Shopee hỗ trợ","https://help.shopee.vn/portal/4/article/79198","2026-08-03","not-stated","public-page"
"shopee-order-payment-errors","data\shopee_selected\shopee-order-payment-errors.md","Lý do không thể thanh toán đơn hàng trên Shopee","https://help.shopee.vn/portal/4/article/84824","2026-08-03","not-stated","public-page"
"shopee-terms-of-service","data\shopee_selected\shopee-terms-of-service.md","Điều khoản dịch vụ Shopee","https://help.shopee.vn/portal/4/article/77243","2026-08-03","not-stated","public-page"
